Algorithm,recovery_pct,avg_rank,p1_budget,p1_correct_pct,p1_winner_score,p1_2nd_score,p2_winner_score,p2_2nd_score,avg_k,p1_true_winner_score,p2_true_winner_score,P1 Avg difference,P2 Avg difference,P2 Changes %,P2 Fixes %,P2 Errors %,N,k,m,epsilon,family,recovery_gain
"Gen-Prob E-Greedy (m=75, e=0.6)",82.0,90.27,274,74.5,2.9543,2.2828,2.9371,2.3354,0.0,2.4219,2.5223,0.6715761625132544,0.6017267371059609,16.0,7.5,0.0,100,30,75.0,0.6,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=75, e=0.2)",82.0,90.89,274,74.5,2.9543,2.2828,2.9361,2.2559,0.0,2.4219,2.526,0.6715761625132544,0.6802050832696072,16.5,7.5,0.0,100,30,75.0,0.2,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=50, e=0.6)",81.5,89.88,231,68.5,2.9645,2.2888,2.9146,2.3309,0.0,2.3049,2.4616,0.6756708540726959,0.5836303329729096,21.5,13.0,0.0,100,30,50.0,0.6,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),81.0,89.85,274,74.5,2.9543,2.2828,2.8804,2.1637,0.0,2.4219,2.4436,0.6715761625132544,0.7167114619152071,15.5,6.5,0.0,100,30,,,Baseline,0.0
PARWiS-P2 (m=50),81.0,89.85,500,81.0,2.8804,2.1637,2.8804,2.1637,0.0,2.4436,2.4436,0.7167114619152071,0.7167114619152071,0.0,0.0,0.0,100,30,50.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.1)",81.0,89.98,231,68.5,2.9645,2.2888,2.9006,2.185,0.0,2.3049,2.4549,0.6756708540726959,0.7156012499628397,26.0,12.5,0.0,100,30,50.0,0.1,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=50, e=0.8)",81.0,89.42,231,68.5,2.9645,2.2888,2.9557,2.3645,0.0,2.3049,2.4571,0.6756708540726959,0.5912403116076108,26.5,12.5,0.0,100,30,50.0,0.8,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",81.0,89.85,274,74.5,2.9543,2.2828,2.8804,2.1637,0.0,2.4219,2.4436,0.6715761625132544,0.7167114619152071,15.5,6.5,0.0,100,30,50.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=75),81.0,89.85,231,68.5,2.9645,2.2888,2.8804,2.1637,0.0,2.3049,2.4436,0.6756708540726959,0.7167114619152071,25.0,12.5,0.0,100,30,75.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=75, e=0.4)",81.0,90.77,274,74.5,2.9543,2.2828,2.9107,2.3009,0.0,2.4219,2.4963,0.6715761625132544,0.6098142074697477,16.5,6.5,0.0,100,30,75.0,0.4,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=75, e=0.8)",81.0,89.78,274,74.5,2.9543,2.2828,2.8945,2.3223,0.0,2.4219,2.4415,0.6715761625132544,0.572175830515826,13.0,6.5,0.0,100,30,75.0,0.8,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=50, e=0.2)",80.5,90.47,231,68.5,2.9645,2.2888,2.9153,2.2637,0.0,2.3049,2.4917,0.6756708540726959,0.6515370965768437,25.5,12.0,0.0,100,30,50.0,0.2,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=75, e=1.0)",79.5,89.18,274,74.5,2.9543,2.2828,2.8963,2.344,0.0,2.4219,2.4218,0.6715761625132544,0.5523209999093144,15.0,6.5,1.5,100,30,75.0,1.0,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=75, e=0.1)",79.0,89.56,274,74.5,2.9543,2.2828,2.8901,2.1781,0.0,2.4219,2.4449,0.6715761625132544,0.7120056432086468,16.0,4.5,0.0,100,30,75.0,0.1,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=50, e=0.4)",78.5,89.57,231,68.5,2.9645,2.2888,2.9082,2.2892,0.0,2.3049,2.4365,0.6756708540726959,0.6190458280046416,25.0,10.0,0.0,100,30,50.0,0.4,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=75, e=0.0)",78.0,88.5,231,68.5,2.9645,2.2888,2.9017,2.2373,0.0,2.3049,2.3902,0.6756708540726959,0.6644237597718079,19.0,9.5,0.0,100,30,75.0,0.0,Gen-Prob E-Greedy,-3.0
"Gen-Prob E-Greedy (m=50, e=1.0)",77.0,88.8,231,68.5,2.9645,2.2888,2.8606,2.3012,0.0,2.3049,2.35,0.6756708540726959,0.5593523662179711,23.0,9.5,1.0,100,30,50.0,1.0,Gen-Prob E-Greedy,-4.0
"Gen-Prob E-Greedy (m=50, e=0.1)",70.0,86.53,253,56.5,2.6412,2.1359,2.5541,2.0676,0.0,1.8108,1.9814,0.5053426853378711,0.4864070906267961,32.0,13.5,0.0,100,40,50.0,0.1,Gen-Prob E-Greedy,3.0
"Gen-Prob E-Greedy (m=75, e=0.2)",69.0,87.13,297,60.0,2.6077,2.1135,2.5382,2.1157,0.0,1.8773,1.9757,0.4942070401748881,0.4225103296930741,22.0,9.0,0.0,100,40,75.0,0.2,Gen-Prob E-Greedy,2.0
"Gen-Prob E-Greedy (m=50, e=0.8)",68.0,84.14,253,56.5,2.6412,2.1359,2.5752,2.2067,0.0,1.8108,1.8909,0.5053426853378711,0.368512969808501,30.5,12.5,1.0,100,40,50.0,0.8,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=50, e=0.4)",68.0,85.28,253,56.5,2.6412,2.1359,2.5769,2.1725,0.0,1.8108,1.9291,0.5053426853378711,0.4044487747144836,35.5,11.5,0.0,100,40,50.0,0.4,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=75, e=0.6)",67.5,86.14,297,60.0,2.6077,2.1135,2.5389,2.1605,0.0,1.8773,1.9203,0.4942070401748881,0.3784006593484612,23.0,8.0,0.5,100,40,75.0,0.6,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),67.0,86.91,297,60.0,2.6077,2.1135,2.5069,2.0569,0.0,1.8773,1.9259,0.4942070401748881,0.4500821982658154,21.5,7.000000000000001,0.0,100,40,,,Baseline,0.0
PARWiS-P2 (m=75),67.0,86.91,253,56.5,2.6412,2.1359,2.5069,2.0569,0.0,1.8108,1.9259,0.5053426853378711,0.4500821982658154,30.0,10.5,0.0,100,40,75.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",67.0,86.91,297,60.0,2.6077,2.1135,2.5069,2.0569,0.0,1.8773,1.9259,0.4942070401748881,0.4500821982658154,21.5,7.000000000000001,0.0,100,40,50.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=50),67.0,86.91,500,67.0,2.5069,2.0569,2.5069,2.0569,0.0,1.9259,1.9259,0.4500821982658154,0.4500821982658154,0.0,0.0,0.0,100,40,50.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=75, e=0.8)",67.0,84.7,297,60.0,2.6077,2.1135,2.5498,2.179,0.0,1.8773,1.8912,0.4942070401748881,0.3708278007485979,20.0,7.000000000000001,0.0,100,40,75.0,0.8,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=50, e=0.6)",67.0,83.69,253,56.5,2.6412,2.1359,2.5691,2.1844,0.0,1.8108,1.8701,0.5053426853378711,0.3847265716319463,36.5,12.0,1.5,100,40,50.0,0.6,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=75, e=0.4)",66.5,86.88,297,60.0,2.6077,2.1135,2.5304,2.1428,0.0,1.8773,1.9319,0.4942070401748881,0.3875747188706557,21.5,7.000000000000001,0.5,100,40,75.0,0.4,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=75, e=0.1)",66.5,85.6,297,60.0,2.6077,2.1135,2.5124,2.0595,0.0,1.8773,1.9029,0.4942070401748881,0.4528455201031063,20.5,6.5,0.0,100,40,75.0,0.1,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=50, e=0.2)",65.0,84.77,253,56.5,2.6412,2.1359,2.5359,2.1288,0.0,1.8108,1.8844,0.5053426853378711,0.407088707260939,34.0,9.5,1.0,100,40,50.0,0.2,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=75, e=1.0)",64.5,85.05,297,60.0,2.6077,2.1135,2.5639,2.1584,0.0,1.8773,1.8948,0.4942070401748881,0.4055086249360986,20.5,6.5,2.0,100,40,75.0,1.0,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=50, e=1.0)",64.0,83.28,253,56.5,2.6412,2.1359,2.5694,2.1596,0.0,1.8108,1.8288,0.5053426853378711,0.4098314506300951,34.5,10.0,2.5,100,40,50.0,1.0,Gen-Prob E-Greedy,-3.0
"Gen-Prob E-Greedy (m=75, e=0.0)",60.5,82.74,253,56.5,2.6412,2.1359,2.6214,2.158,0.0,1.8108,1.8425,0.5053426853378711,0.4634424098801442,26.5,5.0,1.0,100,40,75.0,0.0,Gen-Prob E-Greedy,-6.5
"Gen-Prob E-Greedy (m=75, e=0.1)",59.5,85.53,325,52.0,2.3699,2.0587,2.2341,1.9937,0.0,1.4972,1.5572,0.3112037751922862,0.2403810344427133,30.0,10.0,2.5,100,60,75.0,0.1,Gen-Prob E-Greedy,4.5
"Gen-Prob E-Greedy (m=75, e=0.2)",57.5,86.81,325,52.0,2.3699,2.0587,2.2726,2.0485,0.0,1.4972,1.6623,0.3112037751922862,0.2241160746800599,29.0,7.5,2.0,100,60,75.0,0.2,Gen-Prob E-Greedy,2.5
"Gen-Prob E-Greedy (m=50, e=0.1)",56.0,85.85,259,45.0,2.4532,2.1102,2.2415,2.0022,0.0,1.3726,1.5592,0.343038696029831,0.2392733375368387,45.5,12.5,1.5,100,60,50.0,0.1,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=75, e=0.4)",55.5,84.48,325,52.0,2.3699,2.0587,2.2346,2.0399,0.0,1.4972,1.5134,0.3112037751922862,0.1946998978063678,30.0,7.000000000000001,3.5000000000000004,100,60,75.0,0.4,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),55.0,84.03,325,52.0,2.3699,2.0587,2.2122,1.9884,0.0,1.4972,1.4996,0.3112037751922862,0.2237892910441219,31.0,6.0,3.0,100,60,,,Baseline,0.0
PARWiS-P2 (m=75),55.0,84.03,259,45.0,2.4532,2.1102,2.2122,1.9884,0.0,1.3726,1.4996,0.343038696029831,0.2237892910441219,48.0,12.5,2.5,100,60,75.0,,PARWiS-P2,0.0
PARWiS-P2 (m=50),55.0,84.03,500,55.0,2.2122,1.9884,2.2122,1.9884,0.0,1.4996,1.4996,0.2237892910441219,0.2237892910441219,0.0,0.0,0.0,100,60,50.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",55.0,84.03,325,52.0,2.3699,2.0587,2.2122,1.9884,0.0,1.4972,1.4996,0.3112037751922862,0.2237892910441219,31.0,6.0,3.0,100,60,50.0,0.0,Gen-Prob E-Greedy,0.0
"Gen-Prob E-Greedy (m=50, e=0.4)",53.5,86.18,259,45.0,2.4532,2.1102,2.2731,2.068,0.0,1.3726,1.582,0.343038696029831,0.2050523936147086,50.0,14.000000000000002,5.5,100,60,50.0,0.4,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=75, e=0.6)",53.5,85.69,325,52.0,2.3699,2.0587,2.2824,2.0747,0.0,1.4972,1.5949,0.3112037751922862,0.2077040958700933,37.0,9.5,8.0,100,60,75.0,0.6,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=50, e=0.2)",52.5,84.66,259,45.0,2.4532,2.1102,2.2408,2.0351,0.0,1.3726,1.5296,0.343038696029831,0.2056855689436325,45.5,10.0,2.5,100,60,50.0,0.2,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=50, e=0.6)",51.0,83.22,259,45.0,2.4532,2.1102,2.2778,2.0877,0.0,1.3726,1.4661,0.343038696029831,0.1901218947545859,50.0,12.5,6.5,100,60,50.0,0.6,Gen-Prob E-Greedy,-4.0
"Gen-Prob E-Greedy (m=75, e=0.8)",49.0,84.25,325,52.0,2.3699,2.0587,2.2897,2.0847,0.0,1.4972,1.5051,0.3112037751922862,0.2050278238933467,35.5,5.5,8.5,100,60,75.0,0.8,Gen-Prob E-Greedy,-6.0
"Gen-Prob E-Greedy (m=75, e=0.0)",47.5,81.44,259,45.0,2.4532,2.1102,2.4296,2.1606,0.0,1.3726,1.4703,0.343038696029831,0.2690397089114724,41.0,8.0,5.5,100,60,75.0,0.0,Gen-Prob E-Greedy,-7.5
"Gen-Prob E-Greedy (m=75, e=1.0)",46.5,84.91,325,52.0,2.3699,2.0587,2.3226,2.1082,0.0,1.4972,1.5249,0.3112037751922862,0.2143626842647901,33.0,3.0,8.5,100,60,75.0,1.0,Gen-Prob E-Greedy,-8.5
"Gen-Prob E-Greedy (m=50, e=1.0)",45.0,82.94,259,45.0,2.4532,2.1102,2.3531,2.1323,0.0,1.3726,1.422,0.343038696029831,0.2208282157392944,47.0,10.0,10.0,100,60,50.0,1.0,Gen-Prob E-Greedy,-10.0
"Gen-Prob E-Greedy (m=50, e=0.8)",43.5,83.6,259,45.0,2.4532,2.1102,2.2969,2.1,0.0,1.3726,1.5005,0.343038696029831,0.1969738551699906,53.5,10.0,11.5,100,60,50.0,0.8,Gen-Prob E-Greedy,-11.5
"Gen-Prob E-Greedy (m=75, e=0.2)",39.0,80.37,360,31.5,2.2403,2.0026,2.1527,1.9703,0.0,1.1698,1.3162,0.2377739888530827,0.1823743871267391,39.0,11.0,3.5000000000000004,100,70,75.0,0.2,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),38.5,80.47,360,31.5,2.2403,2.0026,2.143,1.9496,0.0,1.1698,1.2977,0.2377739888530827,0.1933795727767508,37.0,8.5,1.5,100,70,,,Baseline,0.0
PARWiS-P2 (m=50),38.5,80.47,500,38.5,2.143,1.9496,2.143,1.9496,0.0,1.2977,1.2977,0.1933795727767508,0.1933795727767508,0.0,0.0,0.0,100,70,50.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",38.5,80.47,360,31.5,2.2403,2.0026,2.143,1.9496,0.0,1.1698,1.2977,0.2377739888530827,0.1933795727767508,37.0,8.5,1.5,100,70,50.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=75),38.5,80.47,277,27.5,2.3351,2.0602,2.143,1.9496,0.0,1.074,1.2977,0.2748802378884591,0.1933795727767508,59.0,12.5,1.5,100,70,75.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=75, e=0.1)",37.0,79.94,360,31.5,2.2403,2.0026,2.1279,1.943,0.0,1.1698,1.3033,0.2377739888530827,0.1849631098823201,38.5,9.0,3.5000000000000004,100,70,75.0,0.1,Gen-Prob E-Greedy,-1.5
"Gen-Prob E-Greedy (m=75, e=0.4)",36.0,80.47,360,31.5,2.2403,2.0026,2.1504,1.9828,0.0,1.1698,1.3204,0.2377739888530827,0.1675907548294204,40.0,11.0,6.5,100,70,75.0,0.4,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=50, e=0.1)",36.0,78.92,277,27.5,2.3351,2.0602,2.1493,1.957,0.0,1.074,1.2316,0.2748802378884591,0.1922745148149889,61.0,12.5,4.0,100,70,50.0,0.1,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=50, e=0.4)",34.0,79.98,277,27.5,2.3351,2.0602,2.1563,1.9806,0.0,1.074,1.2714,0.2748802378884591,0.1757388641012625,61.0,13.5,7.000000000000001,100,70,50.0,0.4,Gen-Prob E-Greedy,-4.5
"Gen-Prob E-Greedy (m=50, e=0.6)",34.0,78.36,277,27.5,2.3351,2.0602,2.2078,2.0136,0.0,1.074,1.2308,0.2748802378884591,0.1941265946821011,64.0,16.0,9.5,100,70,50.0,0.6,Gen-Prob E-Greedy,-4.5
"Gen-Prob E-Greedy (m=50, e=0.2)",33.0,78.2,277,27.5,2.3351,2.0602,2.1435,1.9662,0.0,1.074,1.1857,0.2748802378884591,0.1773200472599789,59.5,10.5,5.0,100,70,50.0,0.2,Gen-Prob E-Greedy,-5.5
"Gen-Prob E-Greedy (m=50, e=0.8)",31.0,77.36,277,27.5,2.3351,2.0602,2.2198,2.0414,0.0,1.074,1.1991,0.2748802378884591,0.178399576837732,59.5,11.5,8.0,100,70,50.0,0.8,Gen-Prob E-Greedy,-7.5
"Gen-Prob E-Greedy (m=75, e=0.8)",31.0,77.49,360,31.5,2.2403,2.0026,2.1825,2.0207,0.0,1.1698,1.2211,0.2377739888530827,0.1618270921254296,41.5,7.000000000000001,7.5,100,70,75.0,0.8,Gen-Prob E-Greedy,-7.5
"Gen-Prob E-Greedy (m=50, e=1.0)",30.0,76.72,277,27.5,2.3351,2.0602,2.2681,2.0875,0.0,1.074,1.1541,0.2748802378884591,0.180568326839221,56.00000000000001,8.5,6.0,100,70,50.0,1.0,Gen-Prob E-Greedy,-8.5
"Gen-Prob E-Greedy (m=75, e=1.0)",28.5,76.65,360,31.5,2.2403,2.0026,2.2258,2.0504,0.0,1.1698,1.2387,0.2377739888530827,0.1754858266294658,40.5,5.5,8.5,100,70,75.0,1.0,Gen-Prob E-Greedy,-10.0
"Gen-Prob E-Greedy (m=75, e=0.0)",27.5,73.91,277,27.5,2.3351,2.0602,2.3305,2.13,0.0,1.074,1.1815,0.2748802378884591,0.2004466417660664,48.5,4.0,4.0,100,70,75.0,0.0,Gen-Prob E-Greedy,-11.0
"Gen-Prob E-Greedy (m=75, e=0.6)",26.0,77.47,360,31.5,2.2403,2.0026,2.1638,2.001,0.0,1.1698,1.1821,0.2377739888530827,0.1628007402533704,43.0,3.5000000000000004,9.0,100,70,75.0,0.6,Gen-Prob E-Greedy,-12.5
"Gen-Prob E-Greedy (m=75, e=1.0)",11.0,56.53,381,7.0,2.1584,1.9563,2.182,1.999,0.0,0.3475,0.4352,0.2021446465638743,0.1829598998076735,48.0,5.0,1.0,100,90,75.0,1.0,Gen-Prob E-Greedy,1.5
"Gen-Prob E-Greedy (m=75, e=0.2)",10.5,56.88,381,7.0,2.1584,1.9563,2.0731,1.9099,0.0,0.3475,0.4424,0.2021446465638743,0.1631993674911802,47.0,4.5,1.0,100,90,75.0,0.2,Gen-Prob E-Greedy,1.0
"Gen-Prob E-Greedy (m=75, e=0.1)",10.0,59.49,381,7.0,2.1584,1.9563,2.0738,1.8935,0.0,0.3475,0.492,0.2021446465638743,0.1803186212700167,42.0,4.0,1.0,100,90,75.0,0.1,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=50, e=0.1)",10.0,59.24,293,5.0,2.2731,2.0253,2.0549,1.8844,0.0,0.2743,0.4345,0.2477825989075204,0.1705141551024465,69.5,7.000000000000001,2.0,100,90,50.0,0.1,Gen-Prob E-Greedy,0.5
"Gen-Prob E-Greedy (m=50, e=0.4)",10.0,58.41,293,5.0,2.2731,2.0253,2.1023,1.926,0.0,0.2743,0.4542,0.2477825989075204,0.1762818596774065,73.5,7.5,2.5,100,90,50.0,0.4,Gen-Prob E-Greedy,0.5
Pure PARWiS (Baseline),9.5,58.95,381,7.0,2.1584,1.9563,2.0468,1.8915,0.0,0.3475,0.4794,0.2021446465638743,0.1553184742791766,43.5,4.5,2.0,100,90,,,Baseline,0.0
"Gen-Prob E-Greedy (m=50, e=0.0)",9.5,58.95,381,7.0,2.1584,1.9563,2.0468,1.8915,0.0,0.3475,0.4794,0.2021446465638743,0.1553184742791766,43.5,4.5,2.0,100,90,50.0,0.0,Gen-Prob E-Greedy,0.0
PARWiS-P2 (m=75),9.5,58.95,293,5.0,2.2731,2.0253,2.0468,1.8915,0.0,0.2743,0.4794,0.2477825989075204,0.1553184742791766,70.0,7.5,3.0,100,90,75.0,,PARWiS-P2,0.0
PARWiS-P2 (m=50),9.5,58.95,500,9.5,2.0468,1.8915,2.0468,1.8915,0.0,0.4794,0.4794,0.1553184742791766,0.1553184742791766,0.0,0.0,0.0,100,90,50.0,,PARWiS-P2,0.0
"Gen-Prob E-Greedy (m=50, e=0.2)",9.0,59.91,293,5.0,2.2731,2.0253,2.09,1.9129,0.0,0.2743,0.4897,0.2477825989075204,0.1771289978775454,69.0,6.0,2.0,100,90,50.0,0.2,Gen-Prob E-Greedy,-0.5
"Gen-Prob E-Greedy (m=50, e=0.6)",8.5,56.16,293,5.0,2.2731,2.0253,2.1231,1.9604,0.0,0.2743,0.4433,0.2477825989075204,0.1627957142907594,68.5,6.0,2.5,100,90,50.0,0.6,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=50, e=1.0)",8.5,54.42,293,5.0,2.2731,2.0253,2.1822,2.0325,0.0,0.2743,0.4115,0.2477825989075204,0.1497210395560975,61.5,5.5,2.0,100,90,50.0,1.0,Gen-Prob E-Greedy,-1.0
"Gen-Prob E-Greedy (m=75, e=0.6)",7.5,56.44,381,7.0,2.1584,1.9563,2.1177,1.9427,0.0,0.3475,0.4372,0.2021446465638743,0.1750231348557771,51.5,3.5000000000000004,3.0,100,90,75.0,0.6,Gen-Prob E-Greedy,-2.0
"Gen-Prob E-Greedy (m=75, e=0.8)",7.0,54.95,381,7.0,2.1584,1.9563,2.1341,1.9715,0.0,0.3475,0.4136,0.2021446465638743,0.1626447157588963,49.0,3.0,3.0,100,90,75.0,0.8,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=75, e=0.4)",7.0,55.67,381,7.0,2.1584,1.9563,2.0842,1.9177,0.0,0.3475,0.3962,0.2021446465638743,0.1664428864616882,50.0,2.5,2.5,100,90,75.0,0.4,Gen-Prob E-Greedy,-2.5
"Gen-Prob E-Greedy (m=75, e=0.0)",6.5,54.45,293,5.0,2.2731,2.0253,2.2681,2.0993,0.0,0.2743,0.3995,0.2477825989075204,0.1688801178834733,53.5,4.0,2.5,100,90,75.0,0.0,Gen-Prob E-Greedy,-3.0
"Gen-Prob E-Greedy (m=50, e=0.8)",6.0,55.69,293,5.0,2.2731,2.0253,2.1449,1.9864,0.0,0.2743,0.3786,0.2477825989075204,0.1585591053051105,71.5,4.0,3.0,100,90,50.0,0.8,Gen-Prob E-Greedy,-3.5
"Gen-Prob E-Greedy (m=50, e=0.8)",13.5,74.25,290,6.0,2.2647,2.0224,2.1602,1.9929,0.0,0.7281,0.9465,0.2423069503407342,0.1673727942892475,66.0,9.0,1.5,100,93,50.0,0.8,Gen-Prob E-Greedy,2.0
"Gen-Prob E-Greedy (m=50, e=0.2)",12.0,73.5,290,6.0,2.2647,2.0224,2.0524,1.8966,0.0,0.7281,0.9025,0.2423069503407342,0.1558653603428712,73.5,9.5,3.5000000000000004,100,93,50.0,0.2,Gen-Prob E-Greedy,0.5
